disability_group,age,state,district,supply_class,average_payment_annual,participant_count
Autism,7 to 14,NSW,Nepean Blue Mountains,Core,17000,919
Autism,7 to 14,NSW,North Sydney,Capacity Building,23000,928
Autism,7 to 14,NSW,North Sydney,Core,21000,786
Autism,7 to 14,NSW,Northern NSW,Capacity Building,21000,833
Autism,7 to 14,NSW,Northern NSW,Core,18000,591
Autism,7 to 14,NSW,South Eastern Sydney,Capacity Building,27000,902
Autism,7 to 14,NSW,South Eastern Sydney,Core,20000,901
Autism,7 to 14,NSW,South Western Sydney,Capacity Building,27000,2391
Autism,7 to 14,NSW,South Western Sydney,Capital,19000,32
Autism,7 to 14,NSW,South Western Sydney,Core,22000,2477
Autism,7 to 14,NSW,Southern NSW,Capacity Building,19000,394
Autism,7 to 14,NSW,Southern NSW,Core,16000,307
Autism,7 to 14,NSW,Sydney,Capacity Building,30000,405
Autism,7 to 14,NSW,Sydney,Core,18000,456
Autism,7 to 14,NSW,Western NSW,Capacity Building,20000,555
Autism,7 to 14,NSW,Western NSW,Core,15000,536
Autism,7 to 14,NSW,Western Sydney,Capacity Building,27000,1651
Autism,7 to 14,NSW,Western Sydney,Capital,13000,20
Autism,7 to 14,NSW,Western Sydney,Core,22000,1619
Cerebral Palsy,0 to 6,NSW,Central Coast,Core,20000,11
Cerebral Palsy,0 to 6,NSW,Hunter New England,Capacity Building,46000,23
Cerebral Palsy,0 to 6,NSW,Hunter New England,Core,9000,48
Cerebral Palsy,0 to 6,NSW,Illawarra Shoalhaven,Capacity Building,31000,18
Cerebral Palsy,0 to 6,NSW,Illawarra Shoalhaven,Core,23000,14
Cerebral Palsy,0 to 6,NSW,Nepean Blue Mountains,Core,17000,16
Cerebral Palsy,0 to 6,NSW,North Sydney,Core,17000,23
Cerebral Palsy,0 to 6,NSW,Northern NSW,Capacity Building,45000,11
Cerebral Palsy,0 to 6,NSW,Northern NSW,Core,10000,21
Cerebral Palsy,0 to 6,NSW,South Eastern Sydney,Core,21000,19
Cerebral Palsy,0 to 6,NSW,South Western Sydney,Capacity Building,44000,37
Cerebral Palsy,0 to 6,NSW,South Western Sydney,Core,24000,33
Cerebral Palsy,0 to 6,NSW,Western Sydney,Capacity Building,46000,23
Cerebral Palsy,0 to 6,NSW,Western Sydney,Core,16000,31
Cerebral Palsy,15 to 18,NSW,Hunter New England,Capacity Building,42000,33
Cerebral Palsy,15 to 18,NSW,Hunter New England,Core,69000,41
Cerebral Palsy,15 to 18,NSW,Illawarra Shoalhaven,Capacity Building,53000,13
Cerebral Palsy,15 to 18,NSW,Illawarra Shoalhaven,Core,75000,16
Cerebral Palsy,15 to 18,NSW,North Sydney,Capacity Building,42000,16
Cerebral Palsy,15 to 18,NSW,North Sydney,Core,86000,23
Cerebral Palsy,15 to 18,NSW,Northern NSW,Capacity Building,54000,16
Cerebral Palsy,15 to 18,NSW,Northern NSW,Core,67000,18
Cerebral Palsy,15 to 18,NSW,South Eastern Sydney,Capacity Building,33000,27
Cerebral Palsy,15 to 18,NSW,South Eastern Sydney,Core,111000,22
Cerebral Palsy,15 to 18,NSW,South Western Sydney,Capacity Building,78000,28
Cerebral Palsy,15 to 18,NSW,South Western Sydney,Core,129000,38
Cerebral Palsy,15 to 18,NSW,Western NSW,Capacity Building,25000,13
Cerebral Palsy,15 to 18,NSW,Western Sydney,Capacity Building,80000,34
Cerebral Palsy,15 to 18,NSW,Western Sydney,Core,190000,37
Cerebral Palsy,19 to 24,NSW,Central Coast,Capacity Building,112000,12
Cerebral Palsy,19 to 24,NSW,Central Coast,Core,276000,15
Cerebral Palsy,19 to 24,NSW,Hunter New England,Capacity Building,102000,48
Cerebral Palsy,19 to 24,NSW,Hunter New England,Core,181000,61
Cerebral Palsy,19 to 24,NSW,Illawarra Shoalhaven,Core,156000,26
Cerebral Palsy,19 to 24,NSW,Nepean Blue Mountains,Capacity Building,70000,15
Cerebral Palsy,19 to 24,NSW,Nepean Blue Mountains,Core,132000,19
Cerebral Palsy,19 to 24,NSW,North Sydney,Capacity Building,93000,20
Cerebral Palsy,19 to 24,NSW,North Sydney,Core,162000,25
Cerebral Palsy,19 to 24,NSW,Northern NSW,Capacity Building,76000,17
Cerebral Palsy,19 to 24,NSW,Northern NSW,Core,169000,13
Cerebral Palsy,19 to 24,NSW,South Eastern Sydney,Capacity Building,163000,16
Cerebral Palsy,19 to 24,NSW,South Eastern Sydney,Core,110000,28
Cerebral Palsy,19 to 24,NSW,South Western Sydney,Capacity Building,110000,40
Cerebral Palsy,19 to 24,NSW,South Western Sydney,Core,153000,50
Cerebral Palsy,19 to 24,NSW,Sydney,Core,140000,15
Cerebral Palsy,19 to 24,NSW,Western NSW,Capacity Building,125000,14
Cerebral Palsy,19 to 24,NSW,Western NSW,Core,112000,20
Cerebral Palsy,19 to 24,NSW,Western Sydney,Capacity Building,95000,23
Cerebral Palsy,19 to 24,NSW,Western Sydney,Core,129000,31
Cerebral Palsy,25 to 34,NSW,Central Coast,Capacity Building,125000,22
Cerebral Palsy,25 to 34,NSW,Central Coast,Core,182000,24
Cerebral Palsy,25 to 34,NSW,Hunter New England,Capacity Building,133000,52
Cerebral Palsy,25 to 34,NSW,Hunter New England,Core,285000,68
Cerebral Palsy,25 to 34,NSW,Illawarra Shoalhaven,Capacity Building,136000,29
Cerebral Palsy,25 to 34,NSW,Illawarra Shoalhaven,Core,279000,26
Cerebral Palsy,25 to 34,NSW,Mid North Coast,Core,169000,27
Cerebral Palsy,25 to 34,NSW,Murrumbidgee,Capacity Building,133000,16
Cerebral Palsy,25 to 34,NSW,Murrumbidgee,Core,197000,18
Cerebral Palsy,25 to 34,NSW,Nepean Blue Mountains,Capacity Building,186000,23
Cerebral Palsy,25 to 34,NSW,Nepean Blue Mountains,Core,208000,29
Cerebral Palsy,25 to 34,NSW,North Sydney,Capacity Building,125000,31
Cerebral Palsy,25 to 34,NSW,North Sydney,Core,198000,38
Cerebral Palsy,25 to 34,NSW,Northern NSW,Capacity Building,132000,14
Cerebral Palsy,25 to 34,NSW,Northern NSW,Core,344000,18
Cerebral Palsy,25 to 34,NSW,South Eastern Sydney,Capacity Building,122000,26
Cerebral Palsy,25 to 34,NSW,South Eastern Sydney,Core,195000,27
Cerebral Palsy,25 to 34,NSW,South Western Sydney,Capacity Building,150000,56
Cerebral Palsy,25 to 34,NSW,South Western Sydney,Core,191000,75
Cerebral Palsy,25 to 34,NSW,Southern NSW,Capacity Building,89000,13
Cerebral Palsy,25 to 34,NSW,Southern NSW,Core,101000,17
Cerebral Palsy,25 to 34,NSW,Sydney,Capacity Building,128000,12
Cerebral Palsy,25 to 34,NSW,Western NSW,Capacity Building,148000,19
Cerebral Palsy,25 to 34,NSW,Western NSW,Core,268000,26
Cerebral Palsy,25 to 34,NSW,Western Sydney,Capacity Building,130000,52
Cerebral Palsy,25 to 34,NSW,Western Sydney,Core,220000,63
Cerebral Palsy,35 to 44,NSW,Central Coast,Capacity Building,95000,11
Cerebral Palsy,35 to 44,NSW,Central Coast,Core,249000,16
Cerebral Palsy,35 to 44,NSW,Hunter New England,Capacity Building,117000,34
Cerebral Palsy,35 to 44,NSW,Hunter New England,Core,224000,38
Cerebral Palsy,35 to 44,NSW,Illawarra Shoalhaven,Capacity Building,111000,18
Cerebral Palsy,35 to 44,NSW,Illawarra Shoalhaven,Core,337000,19
Cerebral Palsy,35 to 44,NSW,Mid North Coast,Core,293000,12
Cerebral Palsy,35 to 44,NSW,Murrumbidgee,Core,146000,19
Cerebral Palsy,35 to 44,NSW,Nepean Blue Mountains,Capacity Building,168000,15
Cerebral Palsy,35 to 44,NSW,Nepean Blue Mountains,Core,364000,16
Cerebral Palsy,35 to 44,NSW,North Sydney,Capacity Building,126000,23
Cerebral Palsy,35 to 44,NSW,North Sydney,Core,304000,24
Cerebral Palsy,35 to 44,NSW,Northern NSW,Core,206000,19
Cerebral Palsy,35 to 44,NSW,South Eastern Sydney,Capacity Building,132000,19
Cerebral Palsy,35 to 44,NSW,South Eastern Sydney,Core,303000,13
Cerebral Palsy,35 to 44,NSW,South Western Sydney,Capacity Building,138000,33
Cerebral Palsy,35 to 44,NSW,South Western Sydney,Core,225000,52
Cerebral Palsy,35 to 44,NSW,Sydney,Capacity Building,150000,12
Cerebral Palsy,35 to 44,NSW,Sydney,Core,230000,18
Cerebral Palsy,35 to 44,NSW,Western NSW,Core,245000,16
Cerebral Palsy,35 to 44,NSW,Western Sydney,Capacity Building,139000,31
Cerebral Palsy,35 to 44,NSW,Western Sydney,Core,265000,41
Cerebral Palsy,45 to 54,NSW,Central Coast,Capacity Building,107000,11
Cerebral Palsy,45 to 54,NSW,Central Coast,Core,294000,17
Cerebral Palsy,45 to 54,NSW,Hunter New England,Capacity Building,115000,35
Cerebral Palsy,45 to 54,NSW,Hunter New England,Core,351000,46
Cerebral Palsy,45 to 54,NSW,Illawarra Shoalhaven,Core,375000,19
Cerebral Palsy,45 to 54,NSW,Murrumbidgee,Capacity Building,110000,15
Cerebral Palsy,45 to 54,NSW,Murrumbidgee,Core,372000,15
Cerebral Palsy,45 to 54,NSW,Nepean Blue Mountains,Core,375000,13
Cerebral Palsy,45 to 54,NSW,North Sydney,Capacity Building,131000,26
Cerebral Palsy,45 to 54,NSW,North Sydney,Core,325000,31
Cerebral Palsy,45 to 54,NSW,South Eastern Sydney,Capacity Building,101000,20
Cerebral Palsy,45 to 54,NSW,South Eastern Sydney,Core,256000,19
Cerebral Palsy,45 to 54,NSW,South Western Sydney,Capacity Building,130000,36
Cerebral Palsy,45 to 54,NSW,South Western Sydney,Core,262000,47
Cerebral Palsy,45 to 54,NSW,Sydney,Capacity Building,151000,11
Cerebral Palsy,45 to 54,NSW,Sydney,Core,336000,17
Cerebral Palsy,45 to 54,NSW,Western Sydney,Capacity Building,102000,24
Cerebral Palsy,45 to 54,NSW,Western Sydney,Core,397000,17
Cerebral Palsy,55 to 64,NSW,Central Coast,Core,261000,12
Cerebral Palsy,55 to 64,NSW,Hunter New England,Capacity Building,122000,20
Cerebral Palsy,55 to 64,NSW,Hunter New England,Core,307000,39
Cerebral Palsy,55 to 64,NSW,Illawarra Shoalhaven,Core,266000,11
Cerebral Palsy,55 to 64,NSW,North Sydney,Capacity Building,111000,29
Cerebral Palsy,55 to 64,NSW,North Sydney,Core,522000,29
Cerebral Palsy,55 to 64,NSW,South Western Sydney,Capacity Building,164000,19
Cerebral Palsy,55 to 64,NSW,South Western Sydney,Core,265000,25
Cerebral Palsy,55 to 64,NSW,Western Sydney,Capacity Building,98000,22
Cerebral Palsy,55 to 64,NSW,Western Sydney,Core,250000,25
Cerebral Palsy,65+,NSW,North Sydney,Core,256000,16
Cerebral Palsy,7 to 14,NSW,Central Coast,Capacity Building,28000,27
Cerebral Palsy,7 to 14,NSW,Central Coast,Core,69000,29
Cerebral Palsy,7 to 14,NSW,Hunter New England,Capacity Building,29000,94
Cerebral Palsy,7 to 14,NSW,Hunter New England,Capital,62000,28
Cerebral Palsy,7 to 14,NSW,Hunter New England,Core,41000,94
Cerebral Palsy,7 to 14,NSW,Illawarra Shoalhaven,Capacity Building,42000,23
Cerebral Palsy,7 to 14,NSW,Illawarra Shoalhaven,Core,41000,30
Cerebral Palsy,7 to 14,NSW,Mid North Coast,Capacity Building,44000,16
Cerebral Palsy,7 to 14,NSW,Mid North Coast,Core,103000,19
Cerebral Palsy,7 to 14,NSW,Murrumbidgee,Capacity Building,35000,19
Cerebral Palsy,7 to 14,NSW,Murrumbidgee,Core,45000,30
Cerebral Palsy,7 to 14,NSW,Nepean Blue Mountains,Capacity Building,51000,17
Cerebral Palsy,7 to 14,NSW,Nepean Blue Mountains,Core,59000,34
Cerebral Palsy,7 to 14,NSW,North Sydney,Capacity Building,65000,32
Cerebral Palsy,7 to 14,NSW,North Sydney,Capital,60000,11
Cerebral Palsy,7 to 14,NSW,North Sydney,Core,46000,53
Cerebral Palsy,7 to 14,NSW,Northern NSW,Capacity Building,30000,35
Cerebral Palsy,7 to 14,NSW,Northern NSW,Core,32000,33
Cerebral Palsy,7 to 14,NSW,South Eastern Sydney,Capacity Building,50000,33
Cerebral Palsy,7 to 14,NSW,South Eastern Sydney,Core,50000,42
Cerebral Palsy,7 to 14,NSW,South Western Sydney,Capacity Building,43000,90
Cerebral Palsy,7 to 14,NSW,South Western Sydney,Capital,69000,22
Cerebral Palsy,7 to 14,NSW,South Western Sydney,Core,70000,97
Cerebral Palsy,7 to 14,NSW,Southern NSW,Core,100000,14
Cerebral Palsy,7 to 14,NSW,Sydney,Capacity Building,30000,22
Cerebral Palsy,7 to 14,NSW,Sydney,Core,46000,26
Cerebral Palsy,7 to 14,NSW,Western NSW,Capacity Building,29000,29
Cerebral Palsy,7 to 14,NSW,Western NSW,Core,35000,20
Cerebral Palsy,7 to 14,NSW,Western Sydney,Capacity Building,44000,46
Cerebral Palsy,7 to 14,NSW,Western Sydney,Capital,51000,16
Cerebral Palsy,7 to 14,NSW,Western Sydney,Core,41000,77
Developmental delay,0 to 6,NSW,Central Coast,Capacity Building,14000,336
Developmental delay,0 to 6,NSW,Central Coast,Core,4000,64
Developmental delay,0 to 6,NSW,Far West,Capacity Building,12000,51
Developmental delay,0 to 6,NSW,Hunter New England,Capacity Building,15000,2179
Developmental delay,0 to 6,NSW,Hunter New England,Core,5000,584
Developmental delay,0 to 6,NSW,Illawarra Shoalhaven,Capacity Building,15000,274
Developmental delay,0 to 6,NSW,Illawarra Shoalhaven,Core,24000,59
Developmental delay,0 to 6,NSW,Mid North Coast,Capacity Building,14000,528
Developmental delay,0 to 6,NSW,Mid North Coast,Core,3000,183
Developmental delay,0 to 6,NSW,Murrumbidgee,Capacity Building,12000,659
Developmental delay,0 to 6,NSW,Murrumbidgee,Core,5000,145
Developmental delay,0 to 6,NSW,Nepean Blue Mountains,Capacity Building,13000,537
Developmental delay,0 to 6,NSW,Nepean Blue Mountains,Core,7000,65
Developmental delay,0 to 6,NSW,North Sydney,Capacity Building,16000,495
Developmental delay,0 to 6,NSW,North Sydney,Core,7000,140
Developmental delay,0 to 6,NSW,Northern NSW,Capacity Building,18000,312
Developmental delay,0 to 6,NSW,Northern NSW,Core,3000,126
Developmental delay,0 to 6,NSW,South Eastern Sydney,Capacity Building,16000,506
Developmental delay,0 to 6,NSW,South Eastern Sydney,Core,13000,114
Developmental delay,0 to 6,NSW,South Western Sydney,Capacity Building,15000,1306
Developmental delay,0 to 6,NSW,South Western Sydney,Core,11000,192
Developmental delay,0 to 6,NSW,Southern NSW,Capacity Building,15000,250
Developmental delay,0 to 6,NSW,Southern NSW,Core,5000,62
Developmental delay,0 to 6,NSW,Sydney,Capacity Building,18000,194
Developmental delay,0 to 6,NSW,Sydney,Core,2000,61
Developmental delay,0 to 6,NSW,Western NSW,Capacity Building,12000,577
Developmental delay,0 to 6,NSW,Western NSW,Core,6000,90
Developmental delay,0 to 6,NSW,Western Sydney,Capacity Building,14000,1553
Developmental delay,0 to 6,NSW,Western Sydney,Core,12000,217
Developmental delay,7 to 14,NSW,Central Coast,Capacity Building,9000,41
Developmental delay,7 to 14,NSW,Far West,Capacity Building,6000,26
Developmental delay,7 to 14,NSW,Hunter New England,Capacity Building,11000,428
Developmental delay,7 to 14,NSW,Hunter New England,Core,9000,171
Developmental delay,7 to 14,NSW,Illawarra Shoalhaven,Capacity Building,8000,32
Developmental delay,7 to 14,NSW,Illawarra Shoalhaven,Core,12000,21
Developmental delay,7 to 14,NSW,Mid North Coast,Capacity Building,11000,65
Developmental delay,7 to 14,NSW,Mid North Coast,Core,9000,32
Developmental delay,7 to 14,NSW,Murrumbidgee,Capacity Building,9000,65
Developmental delay,7 to 14,NSW,Murrumbidgee,Core,11000,20
Developmental delay,7 to 14,NSW,Nepean Blue Mountains,Capacity Building,9000,85
Developmental delay,7 to 14,NSW,Nepean Blue Mountains,Core,12000,21
Developmental delay,7 to 14,NSW,North Sydney,Capacity Building,13000,83
Developmental delay,7 to 14,NSW,North Sydney,Core,5000,40
Developmental delay,7 to 14,NSW,Northern NSW,Capacity Building,12000,37
Developmental delay,7 to 14,NSW,Northern NSW,Core,4000,22
Developmental delay,7 to 14,NSW,South Eastern Sydney,Capacity Building,16000,34
Developmental delay,7 to 14,NSW,South Eastern Sydney,Core,5000,23
Developmental delay,7 to 14,NSW,South Western Sydney,Capacity Building,11000,138
Developmental delay,7 to 14,NSW,South Western Sydney,Core,14000,61
Developmental delay,7 to 14,NSW,Southern NSW,Capacity Building,10000,49
Developmental delay,7 to 14,NSW,Southern NSW,Core,11000,30
Developmental delay,7 to 14,NSW,Sydney,Capacity Building,21000,21
Developmental delay,7 to 14,NSW,Sydney,Core,6000,19
Developmental delay,7 to 14,NSW,Western NSW,Capacity Building,9000,82
Developmental delay,7 to 14,NSW,Western NSW,Core,14000,32
Developmental delay,7 to 14,NSW,Western Sydney,Capacity Building,10000,170
Developmental delay,7 to 14,NSW,Western Sydney,Core,14000,49
Down Syndrome,0 to 6,NSW,Hunter New England,Capacity Building,40000,16
Down Syndrome,0 to 6,NSW,Hunter New England,Core,15000,18
Down Syndrome,0 to 6,NSW,Illawarra Shoalhaven,Capacity Building,25000,11
Down Syndrome,0 to 6,NSW,Nepean Blue Mountains,Capacity Building,26000,12
Down Syndrome,0 to 6,NSW,South Western Sydney,Capacity Building,25000,46
Down Syndrome,0 to 6,NSW,South Western Sydney,Core,14000,34
Down Syndrome,0 to 6,NSW,Western Sydney,Capacity Building,33000,39
Down Syndrome,0 to 6,NSW,Western Sydney,Core,13000,31
Down Syndrome,15 to 18,NSW,Hunter New England,Capacity Building,63000,14
Down Syndrome,15 to 18,NSW,Hunter New England,Core,41000,23
Down Syndrome,15 to 18,NSW,South Eastern Sydney,Core,39000,12
Down Syndrome,15 to 18,NSW,South Western Sydney,Capacity Building,69000,21
Down Syndrome,15 to 18,NSW,South Western Sydney,Core,76000,23
Down Syndrome,15 to 18,NSW,Western Sydney,Core,54000,17
Down Syndrome,19 to 24,NSW,Hunter New England,Capacity Building,123000,21
Down Syndrome,19 to 24,NSW,Hunter New England,Core,61000,35
Down Syndrome,19 to 24,NSW,Illawarra Shoalhaven,Core,87000,18
Down Syndrome,19 to 24,NSW,Mid North Coast,Core,55000,12
Down Syndrome,19 to 24,NSW,Murrumbidgee,Capacity Building,101000,14
Down Syndrome,19 to 24,NSW,Nepean Blue Mountains,Capacity Building,112000,12
Down Syndrome,19 to 24,NSW,Nepean Blue Mountains,Core,44000,17
Down Syndrome,19 to 24,NSW,North Sydney,Capacity Building,118000,14
Down Syndrome,19 to 24,NSW,North Sydney,Core,24000,24
Down Syndrome,19 to 24,NSW,Northern NSW,Core,69000,13
Down Syndrome,19 to 24,NSW,South Eastern Sydney,Core,53000,22
Down Syndrome,19 to 24,NSW,South Western Sydney,Capacity Building,144000,34
Down Syndrome,19 to 24,NSW,South Western Sydney,Core,46000,39
Down Syndrome,19 to 24,NSW,Western NSW,Capacity Building,110000,12
Down Syndrome,19 to 24,NSW,Western Sydney,Capacity Building,141000,22
Down Syndrome,19 to 24,NSW,Western Sydney,Core,33000,35
Down Syndrome,25 to 34,NSW,Central Coast,Capacity Building,103000,21
Down Syndrome,25 to 34,NSW,Central Coast,Core,97000,20
Down Syndrome,25 to 34,NSW,Hunter New England,Capacity Building,109000,59
Down Syndrome,25 to 34,NSW,Hunter New England,Core,95000,61
Down Syndrome,25 to 34,NSW,Illawarra Shoalhaven,Capacity Building,108000,29
Down Syndrome,25 to 34,NSW,Illawarra Shoalhaven,Core,70000,38
Down Syndrome,25 to 34,NSW,Mid North Coast,Capacity Building,144000,14
Down Syndrome,25 to 34,NSW,Mid North Coast,Core,71000,15
Down Syndrome,25 to 34,NSW,Murrumbidgee,Capacity Building,122000,15
Down Syndrome,25 to 34,NSW,Murrumbidgee,Core,86000,21
Down Syndrome,25 to 34,NSW,Nepean Blue Mountains,Core,65000,24
Down Syndrome,25 to 34,NSW,North Sydney,Capacity Building,89000,25
Down Syndrome,25 to 34,NSW,North Sydney,Core,68000,39
Down Syndrome,25 to 34,NSW,Northern NSW,Capacity Building,160000,17
Down Syndrome,25 to 34,NSW,Northern NSW,Core,89000,24
Down Syndrome,25 to 34,NSW,South Eastern Sydney,Capacity Building,110000,23
Down Syndrome,25 to 34,NSW,South Eastern Sydney,Core,64000,41
Down Syndrome,25 to 34,NSW,South Western Sydney,Capacity Building,127000,55
Down Syndrome,25 to 34,NSW,South Western Sydney,Core,59000,83
Down Syndrome,25 to 34,NSW,Southern NSW,Capacity Building,175000,13
Down Syndrome,25 to 34,NSW,Southern NSW,Core,198000,19
Down Syndrome,25 to 34,NSW,Sydney,Core,31000,18
Down Syndrome,25 to 34,NSW,Western NSW,Core,106000,18
Down Syndrome,25 to 34,NSW,Western Sydney,Capacity Building,88000,24
Down Syndrome,25 to 34,NSW,Western Sydney,Core,80000,45
Down Syndrome,35 to 44,NSW,Central Coast,Core,119000,18
Down Syndrome,35 to 44,NSW,Hunter New England,Capacity Building,109000,42
Down Syndrome,35 to 44,NSW,Hunter New England,Core,144000,47
Down Syndrome,35 to 44,NSW,Illawarra Shoalhaven,Capacity Building,101000,21
Down Syndrome,35 to 44,NSW,Illawarra Shoalhaven,Core,156000,23
Down Syndrome,35 to 44,NSW,Mid North Coast,Core,94000,24
Down Syndrome,35 to 44,NSW,Nepean Blue Mountains,Core,108000,16
Down Syndrome,35 to 44,NSW,North Sydney,Capacity Building,96000,35
Down Syndrome,35 to 44,NSW,North Sydney,Core,159000,34
Down Syndrome,35 to 44,NSW,Northern NSW,Core,128000,20
Down Syndrome,35 to 44,NSW,South Eastern Sydney,Capacity Building,84000,19
Down Syndrome,35 to 44,NSW,South Eastern Sydney,Core,116000,22
Down Syndrome,35 to 44,NSW,South Western Sydney,Capacity Building,119000,32
Down Syndrome,35 to 44,NSW,South Western Sydney,Core,89000,46
Down Syndrome,35 to 44,NSW,Sydney,Core,142000,15
Down Syndrome,35 to 44,NSW,Western NSW,Core,110000,16
Down Syndrome,35 to 44,NSW,Western Sydney,Capacity Building,95000,20
Down Syndrome,35 to 44,NSW,Western Sydney,Core,114000,34
Down Syndrome,45 to 54,NSW,Hunter New England,Capacity Building,112000,29
Down Syndrome,45 to 54,NSW,Hunter New England,Core,245000,33
Down Syndrome,45 to 54,NSW,Illawarra Shoalhaven,Capacity Building,82000,17
Down Syndrome,45 to 54,NSW,Murrumbidgee,Capacity Building,97000,14
Down Syndrome,45 to 54,NSW,Murrumbidgee,Core,187000,15
